,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
35,2018-07-25,2.3965498382173993,2.3906878083691643,2.439759330616487,2.3965498382173993,2.3965498382173993,0.01801142055992228,0.01801142055992228,0.01801142055992228,-0.0029771847428802967,-0.0029771847428802967,-0.0029771847428802967,0.020988605302802575,0.020988605302802575,0.020988605302802575,0.0,0.0,0.0,2.4145612587773218
36,2018-08-06,2.3966809920614014,2.3861831241519926,2.435367714576482,2.3966809920614014,2.3966809920614014,0.01497232859226434,0.01497232859226434,0.01497232859226434,2.056776199057735e-05,2.056776199057735e-05,2.056776199057735e-05,0.014951760830273763,0.014951760830273763,0.014951760830273763,0.0,0.0,0.0,2.4116533206536657
37,2018-08-18,2.396956540803611,2.3864890305187627,2.436696934826557,2.396956540803611,2.396956540803611,0.014907517671522309,0.014907517671522309,0.014907517671522309,-0.000893175087219751,-0.000893175087219751,-0.000893175087219751,0.015800692758742057,0.015800692758742057,0.015800692758742057,0.0,0.0,0.0,2.411864058475133
38,2018-08-24,2.3970943151747157,2.3953514000333165,2.445524006935832,2.3970943151747157,2.3970943151747157,0.02398905498591844,0.02398905498591844,0.02398905498591844,0.00834119332628522,0.00834119332628522,0.00834119332628522,0.015647861659633222,0.015647861659633222,0.015647861659633222,0.0,0.0,0.0,2.421083370160634
39,2018-08-30,2.3972320895458203,2.3800728766127675,2.4304487311462246,2.3972320895458203,2.3972320895458203,0.007400133182044597,0.007400133182044597,0.007400133182044597,-0.0074234174902309425,-0.0074234174902309425,-0.0074234174902309425,0.014823550672275539,0.014823550672275539,0.014823550672275539,0.0,0.0,0.0,2.404632222727865
40,2018-09-11,2.39750763828803,2.3819316298380477,2.432099379300834,2.39750763828803,2.39750763828803,0.010107329279123839,0.010107329279123839,0.010107329279123839,0.0018582141341787779,0.0018582141341787779,0.0018582141341787779,0.00824911514494506,0.00824911514494506,0.00824911514494506,0.0,0.0,0.0,2.407614967567154
41,2018-09-23,2.397783187030239,2.3681272548065446,2.4172984941535067,2.397783187030239,2.397783187030239,-0.0060683716393824146,-0.0060683716393824146,-0.0060683716393824146,0.0010738020978486662,0.0010738020978486662,0.0010738020978486662,-0.007142173737231082,-0.007142173737231082,-0.007142173737231082,0.0,0.0,0.0,2.3917148153908565
42,2018-10-05,2.398058735772449,2.363434654057439,2.4132141660151407,2.398058735772449,2.398058735772449,-0.010147565295817888,-0.010147565295817888,-0.010147565295817888,0.008341193326279892,0.008341193326279892,0.008341193326279892,-0.01848875862209778,-0.01848875862209778,-0.01848875862209778,0.0,0.0,0.0,2.387911170476631
43,2018-10-17,2.398473551322871,2.3487159002256695,2.3984016156122765,2.398473551322871,2.398473551322871,-0.023951584957651675,-0.023951584957651675,-0.023951584957651675,-0.002977184742853936,-0.002977184742853936,-0.002977184742853936,-0.02097440021479774,-0.02097440021479774,-0.02097440021479774,0.0,0.0,0.0,2.3745219663652195
44,2018-10-29,2.398888366873293,2.3482653089401317,2.3992243566875135,2.398888366873293,2.398888366873293,-0.023309900001876323,-0.023309900001876323,-0.023309900001876323,2.0567762014627255e-05,2.0567762014627255e-05,2.0567762014627255e-05,-0.023330467763890944,-0.023330467763890944,-0.023330467763890944,0.0,0.0,0.0,2.3755784668714166
45,2018-11-10,2.399303182423715,2.354592915679887,2.4041446754645093,2.399303182423715,2.399303182423715,-0.020464076015303475,-0.020464076015303475,-0.020464076015303475,-0.0008931750872266854,-0.0008931750872266854,-0.0008931750872266854,-0.019570900928076788,-0.019570900928076788,-0.019570900928076788,0.0,0.0,0.0,2.3788391064084116
